date,target,A1,B1
8/17/18,24218,26639.85932,26712.4
8/24/18,24276,26732.24945,26670.446
8/31/18,24825,27234.12799,27424.31
9/7/18,23583,25763.61542,27435.742
9/14/18,22333,24621.30913,25207.102
9/21/18,22794,25668.85477,25737.962
9/28/18,24493,27689.98257,27244.167
10/12/18,28628,30838.45779,30693.034
10/19/18,29999,32428.93566,31773.569
10/26/18,31877,34087.79461,34163.713
11/2/18,34296,37240.39319,36210.115
11/9/18,35463,38155.01527,37758.399
11/16/18,35347,39055.20551,37685.977
11/23/18,36524,40277.60717,38578.084
11/30/18,38253,41269.43464,40202.291
12/7/18,39401,41713.83909,41415.02
12/14/18,40492,41403.85858,42044.942
12/21/18,41291,42434.42609,43399.466
12/28/18,41932,42709.50761,44274.738
1/4/19,42262,41479.20453,44007.82
1/11/19,41519,40938.62776,42731.76
1/18/19,41329,41084.87016,43436.153
1/25/19,41184,41403.71453,43471.174
2/1/19,42625,40892.22338,44414.742
2/8/19,41609,41246.50865,44446.15
2/15/19,45022,45931.77371,47180.669
2/22/19,46650,46142.81417,49220.403
3/1/19,47523,47176.56968,49959.787
3/8/19,46851,47457.74594,49288.439
3/15/19,46383,46321.53493,48203.919
3/22/19,46924,45263.21585,48492.412
3/29/19,47125,46529.60746,48632.974
4/5/19,45992,45606.24821,48213.68
4/12/19,44449,44619.21257,46151.683
4/19/19,44912,44978.55233,46231.824
4/26/19,45177,44754.53303,46414.765
5/3/19,45998,48494.82274,48442.592
5/10/19,47803,47963.59105,49761.417
5/17/19,49069,50492.91075,50980.775
5/24/19,49053,50901.06386,50518.794
5/31/19,50844,51087.79882,53383.904
6/7/19,52940,52961.6509,55353.904
6/14/19,53582,55049.04549,55381.784
6/21/19,51836,52902.97919,55216.8
6/28/19,52488,54511.7731,55080.225
7/5/19,52178,54423.06811,54659.795
7/12/19,50827,52128.0748,52681.67
7/19/19,50398,52036.45827,52094.855
7/26/19,48865,50979.73641,51988.508
8/2/19,47361,48701.10645,49601.584
8/9/19,44821,44951.039,47055.42
8/16/19,42336,42752.91508,45377.196
8/23/19,40356,41844.66134,42662.814
